program,Age,Gender,Civil State,District,Work Experience,OL-A,OL-B,OL-C,OL-S,AL stream,AL-A,AL-B,AL-C,AL-S
Bachelor of Technology - Mechatronics Engineering,25,Male,Married,Puttalam,No experience,8,0,1,0,Mathematics,0,2,1,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,22,Male,Single,Kurunegala,1-2 years,4,0,4,1,Mathematics,3,0,0,0
Bachelor of Technology - Mechatronics Engineering,20,Female,Married,Badulla,More than 3 years,5,1,3,0,Mathematics,2,1,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,21,Female,Single,Anuradhapura,2-3 years,4,5,0,0,Mathematics,0,1,1,1
Bachelor of Technology - Computer Engineering,21,Male,Single,Mannar,1-2 years,6,3,0,0,Mathematics,0,1,1,1
Bachelor of Technology - Mechanical Engineering,23,Male,Married,Colombo,More than 3 years,3,3,1,2,Biology,1,0,0,2
Bachelor of Technology - Electronic and Communication Engineering,23,Female,Married,Galle,2-3 years,6,0,1,2,Mathematics,2,0,0,1
Bachelor of Technology - Mechanical Engineering,23,Male,Single,Kurunegala,2-3 years,0,0,1,8,Mathematics,2,0,1,0
Bachelor of Technology - Mechatronics Engineering,20,Female,Single,Nuwara Eliya,No experience,9,0,0,0,Mathematics,0,1,2,0
Bachelor of Industrial Studies Honours - Agriculture,24,Female,Married,Mullaitivu,0-1 years,6,1,0,2,Mathematics,1,0,1,1
Bachelor of Technology - Computer Engineering,25,Female,Single,Colombo,More than 3 years,5,0,2,2,Mathematics,3,0,0,0
Bachelor of Technology - Mechanical Engineering,21,Female,Married,Polonnaruwa,1-2 years,4,0,5,0,Mathematics,0,0,1,2
Bachelor of Technology - Mechanical Engineering,25,Female,Married,Kurunegala,No experience,8,0,1,0,Biology,0,3,0,0
Bachelor of Technology - Mechanical Engineering,20,Male,Married,Matale,0-1 years,7,2,0,0,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours - Agriculture,26,Female,Married,Kurunegala,1-2 years,6,0,1,2,Mathematics,2,0,1,0
Bachelor of Technology - Electrical Engineering,24,Female,Single,Gampaha,No experience,2,7,0,0,Biology,3,0,0,0
Bachelor of Technology - Mechatronics Engineering,20,Male,Single,Nuwara Eliya,More than 3 years,2,6,1,0,Mathematics,3,0,0,0
Bachelor of Software Engineering Honours,24,Female,Single,Kandy,2-3 years,5,1,3,0,Mathematics,3,0,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,22,Male,Married,Kurunegala,1-2 years,2,0,6,1,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours - Agriculture,24,Male,Single,Colombo,More than 3 years,6,3,0,0,Mathematics,1,2,0,0
Bachelor of Technology - Electronic and Communication Engineering,23,Female,Married,Kandy,0-1 years,6,1,2,0,Mathematics,2,0,1,0
Bachelor of Software Engineering Honours,25,Male,Single,Gampaha,1-2 years,3,4,1,1,Mathematics,1,1,1,0
Bachelor of Industrial Studies Honours - Agriculture,19,Female,Single,Colombo,1-2 years,6,1,2,0,Biology,3,0,0,0
Bachelor of Industrial Studies Honours - Agriculture,19,Male,Married,Nuwara Eliya,2-3 years,5,4,0,0,Biology,2,1,0,0
Bachelor of Technology - Electrical Engineering,24,Male,Single,Kurunegala,0-1 years,4,1,4,0,Mathematics,2,1,0,0
Bachelor of Industrial Studies Honours - Agriculture,24,Female,Single,Colombo,No experience,5,0,1,3,Mathematics,2,1,0,0
Bachelor of Technology - Mechanical Engineering,23,Female,Married,Badulla,0-1 years,5,3,0,1,Mathematics,3,0,0,0
Bachelor of Software Engineering Honours,19,Male,Single,Colombo,2-3 years,4,1,3,1,Mathematics,0,3,0,0
Bachelor of Technology - Computer Engineering,24,Female,Married,Colombo,No experience,2,1,2,4,Mathematics,1,1,0,1
Bachelor of Software Engineering Honours,23,Male,Single,Gampaha,More than 3 years,2,6,0,1,Mathematics,3,0,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,23,Male,Married,Colombo,More than 3 years,1,5,1,2,Mathematics,0,3,0,0
Bachelor of Technology - Computer Engineering,23,Male,Married,Colombo,More than 3 years,7,1,0,1,Mathematics,0,2,1,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,19,Male,Married,Kandy,2-3 years,4,1,1,3,Mathematics,3,0,0,0
Bachelor of Technology - Electronic and Communication Engineering,21,Female,Married,Gampaha,0-1 years,1,4,3,1,Mathematics,3,0,0,0
Bachelor of Technology - Mechatronics Engineering,20,Female,Single,Colombo,2-3 years,6,3,0,0,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,24,Male,Married,Puttalam,2-3 years,1,0,8,0,Arts,3,0,0,0
Bachelor of Technology - Computer Engineering,20,Female,Married,Badulla,No experience,7,1,0,1,Mathematics,1,2,0,0
Bachelor of Technology - Electronic and Communication Engineering,25,Female,Single,Galle,No experience,0,8,0,1,Mathematics,3,0,0,0
Bachelor of Technology - Computer Engineering,23,Female,Married,Kurunegala,No experience,8,0,0,1,Mathematics,3,0,0,0
Bachelor of Technology - Electrical Engineering,19,Male,Married,Jaffna,1-2 years,5,4,0,0,CommerceArts,3,0,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,21,Male,Single,Kandy,More than 3 years,4,5,0,0,Mathematics,0,0,3,0
Bachelor of Industrial Studies Honours - Agriculture,19,Male,Married,Monaragala,2-3 years,9,0,0,0,Mathematics,2,1,0,0
Bachelor of Industrial Studies Honours - Agriculture,21,Male,Single,Kurunegala,No experience,0,3,6,0,Mathematics,1,1,0,1
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,22,Female,Single,Kandy,1-2 years,7,0,1,1,Mathematics,0,0,1,2
Bachelor of Software Engineering Honours,26,Female,Married,Colombo,2-3 years,9,0,0,0,Mathematics,3,0,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,20,Female,Married,Kilinochchi,2-3 years,9,0,0,0,Mathematics,3,0,0,0
Bachelor of Technology - Electronic and Communication Engineering,19,Male,Married,Kandy,1-2 years,8,0,1,0,Mathematics,3,0,0,0
Bachelor of Technology - Computer Engineering,24,Female,Married,Colombo,0-1 years,4,5,0,0,Mathematics,2,1,0,0
Bachelor of Technology - Civil Engineering,22,Female,Married,Colombo,1-2 years,6,3,0,0,Mathematics,3,0,0,0
Bachelor of Technology - Mechanical Engineering,20,Female,Single,Gampaha,0-1 years,2,7,0,0,Mathematics,3,0,0,0
Bachelor of Technology - Electronic and Communication Engineering,22,Male,Single,Batticaloa,1-2 years,5,1,1,2,Mathematics,0,0,2,1
Bachelor of Technology - Electrical Engineering,20,Male,Single,Galle,0-1 years,7,1,1,0,Mathematics,2,0,1,0
Bachelor of Software Engineering Honours,20,Male,Married,Mullaitivu,2-3 years,1,1,1,6,Mathematics,0,0,1,2
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,20,Male,Married,Kalutara,1-2 years,7,2,0,0,Mathematics,0,1,2,0
Bachelor of Technology - Mechatronics Engineering,24,Male,Single,Kilinochchi,0-1 years,7,1,0,1,Mathematics,3,0,0,0
Bachelor of Technology - Civil Engineering,21,Male,Married,Colombo,2-3 years,5,1,1,2,CommerceArts,3,0,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,25,Female,Married,Kurunegala,2-3 years,8,1,0,0,Mathematics,1,0,2,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,20,Male,Married,Kandy,2-3 years,2,6,0,1,Biology,0,1,2,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,23,Female,Married,Jaffna,More than 3 years,4,5,0,0,Mathematics,2,0,1,0
Bachelor of Technology - Civil Engineering,21,Female,Married,Gampaha,0-1 years,8,1,0,0,Arts,3,0,0,0
Bachelor of Industrial Studies Honours - Agriculture,19,Female,Married,Kurunegala,0-1 years,8,1,0,0,Mathematics,2,1,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,19,Female,Single,Kurunegala,1-2 years,6,0,0,3,Mathematics,2,1,0,0
Bachelor of Industrial Studies Honours - Agriculture,19,Male,Married,Ratnapura,More than 3 years,0,7,1,1,Mathematics,1,2,0,0
Bachelor of Technology - Mechatronics Engineering,23,Female,Single,Polonnaruwa,2-3 years,8,0,0,1,Mathematics,1,1,1,0
Bachelor of Industrial Studies Honours - Agriculture,21,Female,Married,Kandy,No experience,0,6,1,2,Mathematics,1,1,0,1
Bachelor of Technology - Mechatronics Engineering,25,Female,Married,Kurunegala,2-3 years,6,3,0,0,Mathematics,3,0,0,0
Bachelor of Technology - Civil Engineering,21,Female,Married,Colombo,More than 3 years,8,0,0,1,Mathematics,3,0,0,0
Bachelor of Technology - Civil Engineering,24,Male,Married,Gampaha,No experience,5,4,0,0,Mathematics,1,0,1,1
Bachelor of Technology - Mechanical Engineering,24,Female,Married,Colombo,No experience,2,2,4,1,Mathematics,0,2,1,0
Bachelor of Technology - Electronic and Communication Engineering,21,Female,Single,Gampaha,More than 3 years,5,0,0,4,Mathematics,3,0,0,0
Bachelor of Technology - Mechatronics Engineering,25,Female,Single,Gampaha,0-1 years,8,1,0,0,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours - Agriculture,25,Female,Single,Kurunegala,2-3 years,5,4,0,0,Mathematics,3,0,0,0
Bachelor of Software Engineering Honours,19,Female,Single,Gampaha,More than 3 years,1,3,4,1,Mathematics,0,1,1,1
Bachelor of Technology - Civil Engineering,19,Male,Single,Colombo,1-2 years,3,1,5,0,Mathematics,3,0,0,0
Bachelor of Technology - Electrical Engineering,19,Female,Single,Trincomalee,2-3 years,2,6,0,1,Mathematics,2,1,0,0
Bachelor of Industrial Studies Honours - Agriculture,20,Male,Single,Gampaha,0-1 years,2,4,0,3,Mathematics,2,1,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,24,Male,Single,Polonnaruwa,No experience,4,3,0,2,Mathematics,1,1,1,0
Bachelor of Technology - Mechanical Engineering,25,Male,Single,Kurunegala,0-1 years,9,0,0,0,Mathematics,3,0,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,24,Female,Married,Kandy,2-3 years,0,6,1,2,Mathematics,0,2,0,1
Bachelor of Technology - Electronic and Communication Engineering,21,Female,Married,Kandy,No experience,8,0,0,1,Mathematics,1,0,2,0
Bachelor of Technology - Electrical Engineering,26,Male,Single,Gampaha,2-3 years,9,0,0,0,Biology,0,3,0,0
Bachelor of Technology Honours in Engineering – Textile & Clothing,23,Female,Married,Kurunegala,0-1 years,9,0,0,0,Mathematics,0,2,0,1
Bachelor of Technology - Electrical Engineering,20,Male,Married,Jaffna,2-3 years,3,4,2,0,Mathematics,2,1,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,26,Female,Single,Anuradhapura,1-2 years,5,1,3,0,Mathematics,2,0,0,1
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,19,Female,Single,Kurunegala,No experience,2,6,1,0,Mathematics,3,0,0,0
Bachelor of Technology - Civil Engineering,19,Female,Single,Batticaloa,2-3 years,9,0,0,0,Mathematics,0,0,3,0
Bachelor of Technology - Mechatronics Engineering,22,Female,Single,Kandy,No experience,4,5,0,0,Mathematics,0,2,0,1
Bachelor of Technology - Electronic and Communication Engineering,26,Female,Single,Kegalle,2-3 years,9,0,0,0,Arts,3,0,0,0
Bachelor of Technology Honours in Engineering – Textile & Clothing,26,Male,Single,Anuradhapura,More than 3 years,9,0,0,0,Mathematics,1,2,0,0
Bachelor of Software Engineering Honours,23,Male,Married,Kurunegala,No experience,8,1,0,0,Biology,3,0,0,0
Bachelor of Technology - Electrical Engineering,25,Female,Single,Colombo,More than 3 years,7,1,1,0,Mathematics,0,1,0,2
Bachelor of Technology - Mechanical Engineering,25,Female,Married,Colombo,2-3 years,3,2,0,4,Mathematics,0,1,2,0
Bachelor of Technology - Electrical Engineering,20,Male,Single,Kalutara,1-2 years,4,0,5,0,Mathematics,0,0,3,0
Bachelor of Technology - Electrical Engineering,19,Female,Married,Nuwara Eliya,No experience,7,0,1,1,Mathematics,0,2,0,1
Bachelor of Industrial Studies Honours - Agriculture,26,Male,Married,Kurunegala,No experience,1,0,0,8,Mathematics,2,0,0,1
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,26,Male,Married,Kurunegala,2-3 years,1,1,0,7,Mathematics,0,2,1,0
Bachelor of Technology - Electrical Engineering,20,Female,Single,Colombo,More than 3 years,9,0,0,0,Biology,3,0,0,0
Bachelor of Technology - Mechatronics Engineering,19,Female,Married,Kurunegala,0-1 years,1,1,0,7,Mathematics,0,1,2,0
Bachelor of Software Engineering Honours,23,Female,Married,Hambantota,More than 3 years,7,0,0,2,Mathematics,0,0,1,2
Bachelor of Technology - Mechanical Engineering,25,Female,Married,Kurunegala,More than 3 years,2,2,3,2,Mathematics,2,1,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,21,Male,Single,Matara,More than 3 years,0,6,2,1,Arts,1,2,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,20,Female,Single,Anuradhapura,2-3 years,7,2,0,0,Mathematics,2,1,0,0
Bachelor of Technology - Mechatronics Engineering,21,Male,Married,Jaffna,No experience,7,0,0,2,CommerceMathematics,1,2,0,0
Bachelor of Technology - Computer Engineering,22,Male,Married,Mannar,1-2 years,6,1,1,1,Mathematics,0,2,0,1
Bachelor of Industrial Studies Honours - Agriculture,24,Male,Single,Gampaha,1-2 years,7,0,2,0,Mathematics,2,0,0,1
Bachelor of Technology - Electronic and Communication Engineering,22,Female,Single,Kandy,1-2 years,2,5,2,0,Mathematics,1,0,0,2
Bachelor of Software Engineering Honours,23,Male,Single,Kurunegala,0-1 years,6,0,2,1,Mathematics,1,1,1,0
Bachelor of Technology - Electronic and Communication Engineering,24,Female,Single,Gampaha,More than 3 years,6,0,0,3,Mathematics,1,0,0,2
Bachelor of Technology - Civil Engineering,25,Female,Married,Colombo,2-3 years,3,0,6,0,Mathematics,1,2,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,21,Female,Single,Colombo,1-2 years,2,7,0,0,Mathematics,0,3,0,0
Bachelor of Software Engineering Honours,25,Female,Married,Gampaha,2-3 years,2,5,2,0,Mathematics,3,0,0,0
Bachelor of Technology - Mechanical Engineering,25,Male,Single,Kandy,0-1 years,7,0,1,1,Mathematics,2,1,0,0
Bachelor of Technology Honours in Engineering – Textile & Clothing,21,Female,Married,Galle,No experience,2,1,2,4,Mathematics,2,0,0,1
Bachelor of Technology - Computer Engineering,24,Female,Married,Monaragala,2-3 years,6,2,1,0,Mathematics,2,1,0,0
Bachelor of Software Engineering Honours,26,Male,Married,Gampaha,No experience,5,0,2,2,Mathematics,0,2,0,1
Bachelor of Industrial Studies Honours - Agriculture,20,Male,Married,Colombo,More than 3 years,3,2,1,3,Mathematics,2,1,0,0
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,23,Male,Single,Kilinochchi,More than 3 years,4,0,2,3,Mathematics,2,1,0,0
Bachelor of Technology Honours in Engineering – Textile & Clothing,19,Female,Single,Colombo,2-3 years,3,1,5,0,Mathematics,1,1,0,1
Bachelor of Technology - Civil Engineering,26,Female,Married,Colombo,No experience,5,1,3,0,Biology,3,0,0,0
Bachelor of Technology - Computer Engineering,19,Female,Single,Kandy,0-1 years,4,5,0,0,Mathematics,2,1,0,0
Bachelor of Technology - Electrical Engineering,25,Female,Married,Kandy,More than 3 years,0,9,0,0,Mathematics,1,0,1,1
Bachelor of Technology Honours in Engineering – Textile & Clothing,25,Female,Single,Ampara,No experience,8,1,0,0,Mathematics,0,2,1,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,23,Male,Single,Kurunegala,More than 3 years,2,0,7,0,Mathematics,1,0,0,2
Bachelor of Technology - Electrical Engineering,23,Male,Single,Gampaha,More than 3 years,1,7,0,1,Mathematics,0,1,1,1
Bachelor of Technology - Electrical Engineering,25,Male,Single,Colombo,More than 3 years,6,3,0,0,Biology,1,0,0,2
Bachelor of Technology - Mechanical Engineering,25,Female,Single,Colombo,More than 3 years,4,4,0,1,Mathematics,3,0,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,21,Female,Single,Gampaha,2-3 years,9,0,0,0,Mathematics,3,0,0,0
Bachelor of Technology Honours in Engineering – Textile & Clothing,19,Male,Married,Gampaha,2-3 years,5,2,1,1,Mathematics,1,1,0,1
Bachelor of Software Engineering Honours,25,Female,Married,MullaitivuColombo,0-1 years,9,0,0,0,Mathematics,0,1,0,2
Bachelor of Technology - Mechanical Engineering,23,Male,Single,MullaitivuColombo,2-3 years,6,0,2,1,Mathematics,0,2,1,0
Bachelor of Technology - Computer Engineering,21,Female,Single,Matara,No experience,7,0,0,2,CommerceMathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,25,Male,Married,Colombo,No experience,4,0,5,0,Mathematics,1,1,1,0
Bachelor of Technology - Computer Engineering,26,Male,Single,Galle,0-1 years,7,0,1,1,Mathematics,2,0,0,1
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,20,Male,Married,Gampaha,More than 3 years,6,1,0,2,Mathematics,0,2,0,1
Bachelor of Technology - Computer Engineering,24,Male,Single,Polonnaruwa,No experience,8,0,1,0,Mathematics,0,0,3,0
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,23,Female,Single,Colombo,No experience,0,6,1,2,Mathematics,1,1,0,1
Bachelor of Technology - Electronic and Communication Engineering,20,Male,Married,Colombo,No experience,5,1,0,3,Mathematics,0,1,2,0
Bachelor of Software Engineering Honours,19,Female,Single,Gampaha,1-2 years,5,4,0,0,Mathematics,1,2,0,0
Bachelor of Technology - Electrical Engineering,20,Male,Single,Kurunegala,1-2 years,5,1,0,3,Mathematics,2,0,1,0
Bachelor of Technology - Electronic and Communication Engineering,26,Male,Single,Anuradhapura,1-2 years,9,0,0,0,Mathematics,1,1,1,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,26,Male,Single,Colombo,No experience,9,0,0,0,Mathematics,1,1,0,1
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,24,Female,Single,Trincomalee,No experience,9,0,0,0,Mathematics,1,2,0,0
Bachelor of Technology - Electronic and Communication Engineering,19,Male,Married,Nuwara Eliya,2-3 years,3,4,0,2,Mathematics,1,1,1,0
Bachelor of Technology - Mechanical Engineering,22,Male,Married,Matale,No experience,3,5,1,0,Mathematics,2,0,1,0
Bachelor of Technology - Mechatronics Engineering,19,Female,Married,Gampaha,No experience,3,6,0,0,Arts,1,0,2,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,22,Male,Married,Gampaha,1-2 years,2,7,0,0,Mathematics,3,0,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,21,Male,Single,Kandy,0-1 years,9,0,0,0,Mathematics,0,3,0,0
Bachelor of Technology - Mechanical Engineering,21,Male,Single,Badulla,0-1 years,9,0,0,0,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,26,Male,Married,Ampara,2-3 years,2,7,0,0,Mathematics,3,0,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,25,Female,Single,Gampaha,1-2 years,9,0,0,0,Biology,3,0,0,0
Bachelor of Technology - Computer Engineering,23,Female,Married,Kandy,1-2 years,2,7,0,0,Mathematics,1,0,0,2
Bachelor of Technology - Civil Engineering,24,Female,Married,Gampaha,2-3 years,5,3,1,0,Mathematics,0,3,0,0
Bachelor of Industrial Studies Honours - Agriculture,25,Male,Single,Gampaha,2-3 years,4,5,0,0,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,25,Female,Single,Nuwara Eliya,2-3 years,0,5,0,4,Mathematics,1,1,1,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,21,Female,Single,Colombo,More than 3 years,2,0,1,6,Biology,0,3,0,0
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,20,Male,Married,Kalutara,2-3 years,4,5,0,0,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,20,Male,Married,Gampaha,0-1 years,4,5,0,0,Mathematics,3,0,0,0
Bachelor of Software Engineering Honours,26,Male,Single,Kandy,2-3 years,8,1,0,0,Mathematics,3,0,0,0
Bachelor of Technology - Mechatronics Engineering,21,Male,Single,Colombo,0-1 years,8,0,1,0,Mathematics,1,0,0,2
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,21,Male,Married,Kurunegala,2-3 years,7,2,0,0,Mathematics,1,0,1,1
Bachelor of Industrial Studies Honours - Agriculture,25,Male,Married,Kandy,1-2 years,0,9,0,0,Biology,3,0,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,23,Male,Single,Kurunegala,0-1 years,8,0,1,0,Arts,2,1,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,24,Female,Married,Colombo,1-2 years,5,1,2,1,Mathematics,3,0,0,0
Bachelor of Technology - Mechatronics Engineering,24,Male,Single,Monaragala,2-3 years,2,0,1,6,Mathematics,2,0,1,0
Bachelor of Technology - Computer Engineering,26,Female,Single,Colombo,1-2 years,0,5,0,4,Mathematics,2,1,0,0
Bachelor of Technology Honours in Engineering – Textile & Clothing,26,Female,Single,Batticaloa,2-3 years,7,2,0,0,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,21,Male,Single,Colombo,No experience,4,5,0,0,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,22,Male,Single,Kalutara,No experience,1,6,2,0,Mathematics,1,1,1,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,23,Male,Married,Anuradhapura,2-3 years,1,2,4,2,CommerceMathematics,3,0,0,0
Bachelor of Technology - Electronic and Communication Engineering,20,Female,Married,MullaitivuColombo,2-3 years,8,1,0,0,Mathematics,2,0,1,0
Bachelor of Industrial Studies Honours - Agriculture,20,Male,Married,Mannar,More than 3 years,3,5,0,1,Mathematics,2,0,1,0
Bachelor of Technology - Electrical Engineering,19,Female,Single,Kurunegala,More than 3 years,3,6,0,0,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,21,Male,Single,Ampara,No experience,8,1,0,0,Mathematics,2,0,1,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,26,Male,Married,Gampaha,No experience,9,0,0,0,Mathematics,0,2,1,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,22,Female,Married,Polonnaruwa,2-3 years,0,5,1,3,Mathematics,1,2,0,0
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,19,Male,Married,Kurunegala,2-3 years,4,5,0,0,Mathematics,0,3,0,0
Bachelor of Technology - Electrical Engineering,26,Female,Married,Ampara,No experience,8,1,0,0,Mathematics,1,2,0,0
Bachelor of Industrial Studies Honours - Agriculture,21,Female,Single,Kilinochchi,1-2 years,7,2,0,0,Mathematics,1,1,1,0
Bachelor of Technology - Mechanical Engineering,21,Male,Single,Mullaitivu,0-1 years,0,5,4,0,Mathematics,1,1,1,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,21,Male,Single,Batticaloa,2-3 years,2,0,1,6,Mathematics,2,1,0,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,25,Male,Single,Gampaha,0-1 years,6,3,0,0,Mathematics,1,2,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,20,Female,Married,Kegalle,2-3 years,5,0,0,4,Biology,0,0,3,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,22,Male,Married,Kegalle,No experience,9,0,0,0,Biology,3,0,0,0
Bachelor of Industrial Studies Honours - Agriculture,24,Male,Single,Ampara,No experience,6,3,0,0,Mathematics,0,1,2,0
Bachelor of Industrial Studies Honours - Agriculture,21,Male,Single,Galle,2-3 years,5,0,0,4,Mathematics,1,2,0,0
Bachelor of Industrial Studies Honours - Agriculture,23,Male,Single,Gampaha,More than 3 years,4,2,1,2,Mathematics,0,1,1,1
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,23,Female,Single,Kandy,2-3 years,5,4,0,0,Arts,1,2,0,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,19,Male,Single,Kurunegala,0-1 years,4,1,1,3,Arts,1,2,0,0
Bachelor of Technology - Mechanical Engineering,21,Female,Single,Galle,1-2 years,4,3,2,0,Mathematics,1,1,1,0
Bachelor of Industrial Studies Honours - Agriculture,23,Female,Single,Kandy,0-1 years,1,4,1,3,Mathematics,2,0,1,0
Bachelor of Software Engineering Honours,24,Female,Married,Colombo,More than 3 years,3,0,2,4,Mathematics,0,3,0,0
Bachelor of Technology - Mechatronics Engineering,20,Female,Married,Vavuniya,1-2 years,2,3,2,2,Biology,0,3,0,0
Bachelor of Technology - Electrical Engineering,20,Male,Single,Gampaha,1-2 years,9,0,0,0,Mathematics,2,1,0,0
Bachelor of Technology Honours in Engineering – Textile & Clothing,20,Male,Single,Kandy,2-3 years,2,5,2,0,Mathematics,3,0,0,0
Bachelor of Technology - Mechanical Engineering,19,Male,Single,Gampaha,2-3 years,9,0,0,0,Mathematics,2,0,1,0
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,26,Male,Married,Batticaloa,2-3 years,8,1,0,0,CommerceArts,3,0,0,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,20,Female,Married,Vavuniya,1-2 years,1,1,1,6,Mathematics,1,0,0,2
Bachelor of Technology Honours in Engineering – Textile & Clothing,19,Male,Married,Galle,2-3 years,0,6,1,2,Biology,3,0,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,22,Male,Married,Kurunegala,More than 3 years,5,1,0,3,Arts,3,0,0,0
Bachelor of Software Engineering Honours,20,Female,Single,Matara,1-2 years,0,6,3,0,Mathematics,1,1,0,1
Bachelor of Technology - Mechatronics Engineering,22,Male,Married,Ratnapura,2-3 years,4,2,1,2,Biology,3,0,0,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,19,Female,Married,Colombo,1-2 years,0,9,0,0,Mathematics,2,1,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,24,Male,Married,Batticaloa,No experience,1,6,1,1,Arts,0,1,1,1
Bachelor of Industrial Studies Honours - Agriculture,26,Male,Single,Vavuniya,1-2 years,3,3,3,0,Mathematics,2,1,0,0
Bachelor of Software Engineering Honours,23,Male,Married,Anuradhapura,2-3 years,2,2,2,3,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,22,Male,Single,Gampaha,No experience,2,6,1,0,Mathematics,2,0,0,1
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,22,Female,Married,Gampaha,2-3 years,7,2,0,0,Mathematics,1,1,1,0
Bachelor of Technology - Civil Engineering,25,Male,Single,Kurunegala,No experience,2,2,2,3,Mathematics,0,1,0,2
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,24,Female,Single,Badulla,2-3 years,4,2,3,0,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,21,Male,Married,Vavuniya,No experience,4,5,0,0,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,20,Male,Single,Kilinochchi,More than 3 years,2,3,0,4,Mathematics,3,0,0,0
Bachelor of Technology - Electronic and Communication Engineering,21,Female,Single,Kurunegala,0-1 years,1,0,6,2,Mathematics,2,0,0,1
Bachelor of Technology - Mechatronics Engineering,25,Female,Single,Matara,2-3 years,0,4,0,5,Mathematics,2,1,0,0
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,25,Male,Married,Kurunegala,No experience,2,0,0,7,Mathematics,2,0,1,0
